cc_num,transaction_count,avg_amount,std_amount,max_amount,min_amount,night_ratio,weekend_ratio,avg_city_pop,cluster,pca1,pca2,anomaly,anomaly_label,anomaly_score
60423098130,510,115.04633333333334,1202.9880053384977,27119.77,1.01,0.3235294117647059,0.3352941176470588,83.0,0,3.6391964304461193,11.643762267308876,-1,Fraud,-0.01994630331462699
501894933032,7,534.5357142857143,404.64633013934287,1031.8,7.42,0.8571428571428571,1.0,1577385.0,2,5.632879670281782,0.15112104049557926,-1,Fraud,-0.012043806930624679
675909898057,1017,96.77776794493609,867.2878544922877,27390.12,1.02,0.37168141592920356,0.352015732546706,7987.0,0,2.2921339991393834,9.988515436623622,-1,Fraud,-0.00687407410874008
676179782773,11,749.7754545454546,300.3589986454088,1017.68,274.22,1.0,1.0,151022.0,3,9.074388590408878,-1.8153212294883496,-1,Fraud,-0.05372344216937408
4975457191020,7,572.6785714285714,284.71457446763367,839.06,221.78,0.7142857142857143,0.42857142857142855,242803.0,3,6.484593936784018,-1.3980699860462826,-1,Fraud,-0.03004908701689546
30408301059761,520,106.8283846153846,1165.824421386613,26544.12,1.02,0.2826923076923077,0.3,4471.0,0,3.3160011367637723,11.324902056439319,-1,Fraud,-0.026359632320893445
180038493344495,10,669.765,340.15250224470395,1027.85,8.65,0.7,1.0,837792.0,2,5.173004061899174,-0.21640317933412392,-1,Fraud,-0.0013617928527090983
180097223252063,7,457.67571428571426,288.2959752787138,975.85,270.54,0.8571428571428571,1.0,20133.0,3,7.380423129681745,-1.7657422604889093,-1,Fraud,-0.024543200228929196
340187018810220,7,213.72857142857143,140.16929495299266,332.35,10.76,1.0,0.0,1595797.0,2,3.42088992488399,-1.1945610657343277,-1,Fraud,-0.04362944695317905
349813394357327,8,842.23125,262.9533526495581,1097.09,296.14,0.875,0.0,2601.0,3,8.444893338202387,-1.8032431609079704,-1,Fraud,-0.04373957602051792
2716017661090253,8,664.36,413.18469982736366,938.98,7.31,0.75,1.0,1417793.0,2,5.732782379695941,0.17888820197044814,-1,Fraud,-0.016603234831486402
3521260686633367,15,625.6020000000001,418.2192013286812,1064.07,9.08,1.0,1.0,2906700.0,2,6.880014884272255,0.21845874149161318,-1,Fraud,-0.06965857742670378
3535211949888417,8,858.48,265.9405582886092,1153.76,269.15,0.75,0.0,64438.0,3,7.805369019637976,-1.603657485930652,-1,Fraud,-0.04567028643979887
3545578418030657,7,513.6071428571429,404.2574742130848,947.47,9.02,0.8571428571428571,0.0,2906700.0,2,5.320315679176965,0.46845083521735975,-1,Fraud,-0.038805903134410014
6011732631674654,7,810.2785714285714,245.0267466644251,1008.16,288.99,0.8571428571428571,0.5714285714285714,3631.0,3,8.468699858812382,-2.0384662736971655,-1,Fraud,-0.03763700696730499
6011935564104173,11,948.8181818181819,225.56478203913755,1124.34,311.58,1.0,0.6363636363636364,1263321.0,3,10.021301184170094,-2.2609626812971544,-1,Fraud,-0.07716027840464346
6500249000784905,9,799.2133333333334,279.102157551675,1150.64,283.26,1.0,0.0,186140.0,3,8.683100785738388,-1.6694366873936186,-1,Fraud,-0.05035047184827568
6577777028615915,7,874.5057142857142,309.10880521574404,1313.18,312.62,0.7142857142857143,1.0,1888.0,3,8.958065427599674,-1.8000141929341338,-1,Fraud,-0.06557524847255403
4162872756672112717,10,695.025,331.5477071168559,1167.88,296.26,0.9,1.0,3164.0,3,8.838412189056582,-1.6656202163445701,-1,Fraud,-0.02586423392755932
4714017207228610634,7,700.092857142857,287.19089329307815,1030.21,301.63,1.0,0.0,198659.0,3,8.55092040170028,-1.717419996160308,-1,Fraud,-0.06139778588672595
